LocationID,LocationName,LocationDescription,LocationAddress,LocationLatitude,LocationLongitude
1,Boise,ID,6260 Egestas Street,,
2,Tampa,FL,2051 Massa. Road,,
3,Omaha,NE,9844 Rhoncus. St.,,
4,Springfield,MO,3574 At Street,,
5,Biloxi,MS,9983 Aliquam  Avenue,,
6,Salem,OR,7514 Nonummy Avenue,,
7,Henderson,NV,6826 Non Ave,,
8,Naperville,IL,6165 Neque St.,,
9,Memphis,TN,9465 Quisque Street,,
10,Sandy,UT,2923 Risus. Rd.,,
11,Jefferson City,MO,7784 Orci Ave,,
12,Olympia,WA,9821 Et St.,,
13,Savannah,GA,1920 Cras Av.,,
14,Columbus,OH,1411 Turpis Rd.,,
15,Sioux City,IA,2587 Ipsum. Rd.,,
16,Cincinnati,OH,4785 Magna. Avenue,,
17,Topeka,KS,7372 Suspendisse Street,,
18,Great Falls,MT,4822 Mi. Road,,
19,Miami,FL,1911 Dolor Street,,
20,Memphis,TN,5838 Adipiscing Rd.,,
21,Georgia,GA,4310 Duis Av.,,
22,Fresno,CA,6819 Ligula Rd.,,
23,Augusta,GA,4855 Nunc St.,,
24,Columbus,GA,9010 Aliquet Road,,
25,Rockville,MD,5679 Eu Street,,
26,Stamford,CT,5072 Dui  St.,,
27,St. Petersburg,FL,1776 Egestas Rd.,,
28,Mesa,AZ,2243 Augue  Ave,,
29,Essex,VT,6476 Tellus Ave,,
30,Philadelphia,PA,4258 Auctor St.,,
31,Butte,MT,6543 Erat. Road,,
32,Baltimore,MD,4660 Lobortis Avenue,,
33,Mobile,AL,1804 Purus  Av.,,
34,Clarksville,TN,6714 Pellentesque St.,,
35,Chandler,AZ,332 Luctus  St.,,
36,Rochester,MN,1192 Ac Ave,,
37,Reno,NV,6759 Phasellus Rd.,,
38,Fresno,CA,860 Donec Street,,
39,San Antonio,TX,9474 Arcu. Street,,
40,Bridgeport,CT,1078 Et Av.,,
41,Columbus,GA,4328 Nunc St.,,
42,Madison,WI,6058 Diam St.,,
43,Bellevue,WA,8453 Ante Rd.,,
44,Norfolk,VA,4223 Eu Road,,
45,Lawton,OK,6434 Posuere Av.,,
46,Harrisburg,PA,1065 Eleifend. Av.,,
47,Owensboro,KY,7638 Vulputate St.,,
48,Jonesboro,AR,7446 Laoreet  St.,,
49,Olympia,WA,7935 Purus Rd.,,
50,Lewiston,ME,9954 Dictum Road,,
51,Juneau,AK,1204 Augue Rd.,,
52,Reno,NV,433 Parturient Rd.,,
53,Louisville,KY,5753 Non  Street,,
54,Chesapeake,VA,7082 Ligula Rd.,,
55,Rockville,MD,2097 Arcu Avenue,,
56,Detroit,MI,3426 Nec St.,,
57,Lawton,OK,7417 Est. Av.,,
58,San Antonio,TX,6883 Dapibus St.,,
59,Burlington,VT,5443 Varius Ave,,
60,Cincinnati,OH,5086 Morbi St.,,
61,Ketchikan,AK,9930 Lorem  Street,,
62,Olathe,KS,2129 Placerat  St.,,
63,Olathe,KS,195 Curae Avenue,,
64,Kansas City,MO,5034 Lacus. Ave,,
65,Anchorage,AK,8082 Vivamus Rd.,,
66,Orlando,FL,1774 Nonummy Av.,,
67,Columbus,OH,4904 Donec Road,,
68,Fresno,CA,4722 Integer Street,,
69,Birmingham,AL,3037 Attic Street,,
70,Houston,TX,9276 Phasellus Road,,
71,Augusta,GA,8047 At  Av.,,
72,Portland,ME,5835 Donec Rd.,,
73,Memphis,TN,8015 Nisl Ave,,
74,Hattiesburg,MS,6623 Ut Road,,
75,Lowell,MA,6199 Adipiscing  Road,,
76,Miami,FL,3960 In  Avenue,,
77,Lowell,MA,3381 Consectetuer St.,,
78,Madison,WI,4476 Lobortis Avenue,,
79,Lowell,MA,9034 Quis Street,,
80,Colchester,VT,4076 Ac Rd.,,
81,Dallas,TX,9854 Dignissim Rd.,,
82,Grand Rapids,MI,1763 Facilisis Rd.,,
83,Casper,WY,890 Malesuada. Rd.,,
84,Portland,ME,9983 Et  Rd.,,
85,Stamford,CT,4075 Nam Ave,,
86,Austin,TX,8478 Neque Av.,,
87,Lincoln,NE,7250 Blandit Av.,,
88,Columbia,MO,2252 Viverra. Rd.,,
89,Wilmington,DE,8472 Enim Rd.,,
90,Carson City,NV,6248 Scelerisque  St.,,
91,Indianapolis,IN,2574 Imperdiet Road,,
92,Columbus,GA,6546 Blandit Street,,
93,Phoenix,AZ,1104 Bibendum Av.,,
94,Carson City,NV,1159 Libero. Street,,
95,Seattle,WA,6690 Turpis. Road,,
96,Sacramento,CA,1290 Volutpat St.,,
97,Jefferson City,MO,6439 Consectetuer Rd.,,
98,Lafayette,LA,3244 Adipiscing Street,,
99,Austin,TX,7869 Est  Road,,
100,Tucson,AZ,3391 Tristique Rd.,,
